"schemaVersion","gameName","numPlayers","numCells","numVertices","numEdges","numRows","numColumns","numCorners","numComponents","numPhases","numPlayableSites","avgNumDirections","avgNumOrthogonal","avgNumDiagonal","isStacking","isStochastic","isAlternating","hasHiddenInfo","requiresTeams","hasTrack","hasCard","hasHandDice","hasHeuristics","isVertexGame","isEdgeGame","isCellGame","isDeductionPuzzle"
"2","Adugo","2","36","31","66","7","5","7","2","1","31","4.52","4.26","0.26","0","0","1","0","0","0","0","0","1","1","0","0","0"
"2","Asalto","2","40","33","72","7","7","16","2","1","33","4.36","4.36","0.0","0","0","1","0","0","0","0","0","1","1","0","0","0"
"2","Bagh Bandi","2","40","37","76","9","5","10","2","2","78","4.54","4.11","0.43","1","0","1","0","0","0","0","0","0","1","0","1","0"
"2","Bagh Batti","2","32","25","56","5","5","4","2","1","25","4.48","4.48","0.0","1","0","1","0","0","0","0","0","0","1","0","0","0"
"2","Bagh Guti","2","24","25","48","5","5","4","2","1","25","5.12","3.84","1.28","1","0","1","0","0","0","0","0","1","1","0","0","0"
"2","Bagha Guti","2","32","25","56","5","5","4","2","2","26","4.48","4.48","0.0","1","0","1","0","0","0","0","0","0","1","0","1","0"
"2","Baghchal","2","32","25","56","5","5","4","2","2","58","4.48","4.48","0.0","0","0","1","0","0","0","0","0","1","1","0","1","0"
"2","Bam Blang Beh Khla","2","2","10","12","4","3","2","2","1","10","2.4","2.4","0.0","0","0","1","0","0","0","0","0","1","1","0","0","0"
"2","Bouge Shodra","2","40","35","74","9","5","9","2","2","76","4.46","4.23","0.23","0","0","1","0","0","0","0","0","1","1","0","1","0"
"2","Cercar La Liebre","2","32","25","56","5","5","4","2","1","25","4.48","4.48","0.0","0","0","1","0","0","0","0","0","1","1","0","0","0"
"2","Coyote","2","24","25","48","5","5","4","2","1","25","5.12","3.84","1.28","0","0","1","0","0","0","0","0","1","1","0","0","0"
"2","Demala Diviyan Keliya","2","12","23","38","5","15","5","2","2","36","4.87","3.3","1.57","0","0","1","0","0","0","0","0","1","1","0","1","0"
"2","Diviyan Keliya","2","48","49","96","9","9","16","2","3","99","4.57","3.92","0.65","0","0","1","0","0","0","0","0","1","1","0","1","0"
"2","El Cazador","2","32","25","56","5","5","4","2","1","25","4.48","4.48","0.0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"2","El Perro","2","32","25","56","5","5","4","2","1","25","4.48","4.48","0.0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"2","El Zorro","2","40","33","72","7","7","16","2","1","33","4.36","4.36","0.0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"2","Fox and Geese","2","40","33","72","7","7","16","2","2","74","4.36","4.36","0.0","0","0","1","0","0","0","0","0","1","1","0","1","0"
"2","Gala (Buginese)","2","49","64","112","7","7","4","2","3","51","6.37","3.43","2.94","0","0","1","0","0","0","0","0","1","0","0","1","0"
"2","Gala","2","25","36","60","5","5","4","2","2","27","5.76","3.2","2.56","0","0","1","0","0","0","0","0","1","0","0","1","0"
"2","Gasetavl (Gedved)","2","56","45","100","9","9","12","2","1","45","4.44","4.44","0.0","0","0","1","0","0","0","0","0","1","1","0","0","0"
"2","Gasetavl","2","80","53","132","9","9","16","2","1","53","4.98","4.98","0.0","0","0","1","0","0","0","0","0","1","1","0","0","0"
"2","Gioco dell'Orso","2","0","17","28","5","5","12","4","4","19","3.29","3.29","0.0","0","0","1","0","0","0","0","0","1","1","0","1","0"
"2","Go with the Floe","2","52","69","120","8","8","12","3","1","52","6.54","3.38","3.15","0","0","1","0","0","0","0","0","1","0","0","1","0"
"2","Haretavl","2","12","11","22","3","5","2","2","2","25","4.0","4.0","0.0","0","0","1","0","0","0","0","0","1","1","0","1","0"
"2","Hat Diviyan Keliya","2","0","10","15","4","7","3","2","2","12","3.0","3.0","0.0","0","0","1","0","0","0","0","0","1","1","0","1","0"
"2","Huli-Mane Ata","2","0","10","15","4","7","3","2","2","11","3.0","3.0","0.0","0","0","1","0","0","0","0","0","1","1","0","1","0"
"2","Hund efter Hare (Thy)","2","8","21","48","5","7","2","2","1","21","6.1","4.57","1.52","0","0","1","0","0","0","0","0","1","1","0","0","0"
"2","Hund efter Hare (Vendsyssel)","2","0","12","25","3","7","2","2","1","12","4.17","4.17","0.0","0","0","1","0","0","0","0","0","1","1","0","0","0"
"2","Hyvn aetter Hare","2","16","13","28","5","5","8","2","2","31","4.31","4.31","0.0","0","0","1","0","0","0","0","0","0","1","0","1","0"
"2","Janes Soppi","2","8","11","18","3","5","2","2","2","21","4.73","3.27","1.45","0","0","1","0","0","0","0","0","1","1","0","1","0"
"2","Jeu Militaire","2","12","11","22","5","3","2","2","1","11","4.0","4.0","0.0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"2","Jeu de Renard (Two Foxes)","2","64","81","144","8","8","4","2","2","64","6.56","3.5","3.06","0","0","1","0","0","0","0","0","1","0","0","1","0"
"2","Jeu de Renard","2","64","81","144","8","8","4","2","2","65","6.56","3.5","3.06","0","0","1","0","0","0","0","0","1","0","0","1","0"
"2","Jeu du Renard et de la Poule","2","40","33","72","7","7","16","2","2","74","4.36","4.36","0.0","0","0","1","0","0","0","0","0","1","1","0","1","0"
"2","Juroku Musashi","2","36","33","70","7","7","12","2","1","33","4.36","4.24","0.12","0","0","1","0","0","0","0","0","1","1","0","0","0"
"2","Kaooa","2","6","10","15","5","9","5","2","2","18","3.5","3.0","0.5","0","0","1","0","0","0","0","0","1","1","0","1","0"
"2","Ko-app-paw-na","2","16","25","40","5","5","4","2","1","25","5.76","3.2","2.56","0","0","1","0","0","0","0","0","1","1","0","0","0"
"2","Komikan","2","42","38","79","8","9","7","2","1","38","4.79","4.16","0.63","0","0","1","0","0","0","0","0","0","1","0","0","0"
"2","Koti Keliya","2","144","169","312","12","12","4","2","2","144","7.03","3.67","3.36","0","0","1","0","0","0","0","0","1","0","0","1","0"
"2","Kulaochal","2","32","25","56","5","5","4","2","1","25","4.48","4.48","0.0","0","0","1","0","0","0","0","0","1","1","0","0","0"
"2","La Liebre Perseguida","2","12","11","22","5","3","2","2","1","11","4.0","4.0","0.0","0","0","1","0","0","0","0","0","1","1","0","0","0"
"2","La Yagua","2","36","31","68","7","5","7","2","1","31","4.52","4.39","0.13","0","0","1","0","0","0","0","0","0","1","0","0","0"
"2","Len Cua Kin Ngoa","2","16","25","40","4","4","4","2","4","17","5.25","3.0","2.25","0","0","1","0","0","0","0","0","1","0","0","1","0"
"2","Ludus Coriovalli","2","0","10","15","4","3","4","2","2","12","3.0","3.0","0.0","0","0","1","0","0","0","0","0","0","1","0","1","0"
"2","Main Tapak Empat","2","32","25","56","5","5","4","2","2","58","4.48","4.48","0.0","1","0","1","0","0","0","0","0","0","1","0","1","0"
"2","Manu","2","40","33","72","7","7","16","2","2","74","4.36","4.36","0.0","0","0","1","0","0","0","0","0","1","1","0","1","0"
"2","Mao Naga Tiger Game","2","40","37","76","9","5","10","2","1","37","4.54","4.11","0.43","1","0","1","0","0","0","0","0","0","1","0","0","0"
"2","Merimueng-rimueng-do","2","0","23","38","5","21","5","2","2","25","3.3","3.3","0.0","0","0","1","0","0","0","0","0","1","1","0","1","0"
"2","Merimueng-rimueng","2","40","37","76","9","5","10","2","2","78","4.54","4.11","0.43","1","0","1","0","0","0","0","0","0","1","0","1","0"
"2","Musinaykahwhanmetowaywin","2","40","33","72","7","7","16","2","1","33","4.36","4.36","0.0","0","0","1","0","0","0","0","0","1","1","0","0","0"
"2","Mysore Tiger Game (Three Tigers)","2","12","23","38","5","15","5","2","3","37","4.87","3.3","1.57","0","0","1","0","0","0","0","0","1","1","0","1","0"
"2","Mysore Tiger Game (Two Tigers)","2","48","49","96","9","9","16","2","2","99","4.57","3.92","0.65","0","0","1","0","0","0","0","0","1","1","0","1","0"
