game,numPlayers,numCells,numVertices,numEdges,numComponents,numPhases,numRows,numColumns,numCorners,numPlayableSites,avgNumDirections,avgNumOrthogonal,avgNumDiagonal,isStacking,isStochastic,hasHiddenInfo,requiresTeams,hasTrack,hasCard,hasHandDice,isVertexGame,isEdgeGame,isCellGame,isDeductionPuzzle,isSimultaneous,isAlternating,maxCount,maxLocalStates,stateSpaceLog
Kanguruh,2,64,81,144,2,1,8,8,4,64,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
Apocalypse,2,25,36,60,4,1,5,5,4,25,5.76,3.20,2.56,0,0,0,0,0,0,0,0,0,1,0
Infuse,2,75,181,255,2,1,10,10,6,75,9.68,5.20,4.48,0,0,0,0,0,0,0,0,0,1,0
Omangunta Peeta,2,6,14,19,1,2,2,7,4,22,4.43,2.71,1.71,0,0,0,0,1,0,0,1,0,1,0
Ngulungu,2,18,28,45,2,1,4,7,4,28,5.79,3.21,2.57,0,0,0,0,1,0,0,1,0,0,0
Pathway,2,36,49,84,2,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,0,0,0,0,0,1,0
Lian Qi (A-Type),2,0,24,40,2,2,7,7,4,26,3.33,3.33,0.00,1,0,0,0,0,0,0,1,0,1,0
La Liebre Perseguida,2,12,11,22,2,1,5,3,2,11,4.00,4.00,0.00,0,0,0,0,0,0,0,1,0,0,0
Bipod,2,81,201,281,3,1,6,16,4,81,9.26,5.06,4.20,0,0,0,0,0,0,0,0,0,1,0
Ovalhu,2,9,18,26,1,2,2,10,2,18,4.44,2.89,1.56,0,0,0,0,1,0,0,1,0,0,0
Tennessee Waltz,2,16,25,40,2,1,5,5,4,27,5.76,3.20,2.56,0,0,0,0,0,0,0,1,0,1,0
Shatranj Diwana Shah,2,64,81,144,7,1,8,8,4,64,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
Guerrilla Checkers,2,64,81,144,2,3,9,9,4,146,6.72,3.56,3.16,0,0,0,0,0,0,0,1,0,1,0
Katrayo,2,5,12,16,1,1,2,6,4,12,4.33,2.67,1.67,0,0,0,0,1,0,0,1,0,0,0
Ludus Rebellionis 1,2,64,81,144,6,1,8,8,4,64,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
Sher Bakar,2,32,25,56,2,1,5,5,4,25,4.48,4.48,0.00,1,0,0,0,0,0,0,1,0,0,0
Slitherlink,1,49,64,112,0,1,15,15,8,225,5.21,5.21,0.00,0,0,0,0,0,0,0,1,1,1,1
Spao,3,14,30,96,3,1,7,7,4,30,8.27,6.40,1.87,0,0,0,0,0,0,0,1,0,0,0
Saxun,2,64,81,144,12,1,8,8,4,64,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
Tsoro (Additional Capture),2,21,32,52,1,1,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0
The SmallHolder,2,37,96,132,2,1,7,7,6,37,8.76,4.86,3.89,0,0,0,0,0,0,0,0,0,1,0
El Cazador,2,32,25,56,2,1,5,5,4,25,4.48,4.48,0.00,0,0,0,0,0,0,0,1,0,0,0
Col,2,61,150,210,2,1,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0
First Attack,2,64,81,144,1,1,8,8,4,64,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
Shanzak Kammar,2,40,37,92,2,1,9,5,10,37,5.41,4.97,0.43,0,0,0,0,0,0,0,1,0,0,0
Meurimueng-rimueng Peuet Ploh,2,128,81,208,2,1,9,9,4,81,5.14,5.14,0.00,0,0,0,0,0,0,0,1,0,0,0
SpanRups,1,40,25,56,1,1,9,9,8,56,7.86,7.86,0.00,0,0,0,0,0,0,0,0,1,0,0
Sittuyin,2,64,81,144,12,4,8,8,4,76,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
International Draughts,2,100,121,220,4,1,10,10,4,100,6.84,3.60,3.24,0,0,0,0,0,0,0,0,0,1,0
HeXentafl,2,37,96,132,3,1,7,7,6,37,8.76,4.86,3.89,0,0,0,0,0,0,0,0,0,1,0
Zonesh,2,36,49,84,2,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,0,0,0,0,0,1,0
Tuk Tak,2,9,16,24,2,2,3,3,4,11,4.44,2.67,1.78,0,0,0,0,0,0,0,0,0,1,0
Gifia,2,5,10,14,1,2,2,6,2,10,4.00,2.80,1.20,0,0,0,0,1,0,0,1,0,0,0
Mraha wa Bwe,2,25,36,60,2,2,5,5,4,27,5.76,3.20,2.56,0,0,0,0,0,0,0,0,0,1,0
Feed the Ducks,2,61,150,210,3,2,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0
Bechi,2,3,8,10,1,2,2,4,4,13,4.00,2.50,1.50,0,0,0,0,1,0,0,1,0,1,0
Dara,2,30,42,71,2,2,5,6,4,32,5.93,3.27,2.67,0,0,0,0,0,0,0,0,0,1,0
Mysore Tiger Game (Two Tigers),2,48,49,96,2,2,9,9,16,99,4.57,3.92,0.65,0,0,0,0,0,0,0,1,0,1,0
Gopher,2,91,216,306,2,1,11,11,6,91,9.89,5.27,4.62,0,0,0,0,0,0,0,0,0,1,0
Gabata (Adegrat),2,5,12,16,1,2,2,6,4,19,4.33,2.67,1.67,0,0,0,0,1,0,0,1,0,1,0
Tama,2,64,81,144,4,1,8,8,4,64,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
Teeko,2,25,36,60,2,2,5,5,4,41,5.76,3.20,2.56,0,0,0,0,0,0,0,0,0,1,0
Bara Guti (Bihar),2,0,25,48,2,1,13,13,8,25,3.84,3.84,0.00,0,0,0,0,0,0,0,1,0,0,0
Catchup,2,61,150,210,2,1,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0
Esa Hex,2,121,286,406,2,2,11,11,4,121,9.92,5.29,4.63,0,0,0,0,0,0,0,0,0,1,0
Nsumbi,2,21,32,52,1,2,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0
Foji,2,5,12,16,1,1,2,6,4,19,4.33,2.67,1.67,0,0,0,0,1,0,0,1,0,1,0
Um el Tuweisat,2,2,6,7,1,1,2,3,4,10,3.67,2.33,1.33,0,0,0,0,1,0,0,1,0,1,0
Tsoro Yemutwelve,2,0,24,40,2,2,7,7,4,26,3.33,3.33,0.00,0,0,0,0,0,0,0,1,0,1,0
Make Muster,2,45,64,108,2,1,9,9,12,45,6.22,3.20,3.02,0,0,0,0,0,0,0,0,0,1,0
Moruba,2,33,48,80,1,1,4,12,4,83,6.08,3.33,2.75,0,0,0,0,1,0,0,1,0,1,0
Hex Amazons,2,127,294,420,3,2,13,13,6,127,10.20,5.39,4.82,0,0,0,0,0,0,0,0,0,1,0
Lam Turki,1,6,10,15,1,2,5,9,5,17,3.50,3.00,0.50,0,0,0,0,0,0,0,1,0,1,0
Fanorona Telo,2,8,9,16,2,2,3,3,4,19,3.56,3.56,0.00,0,0,0,0,0,0,0,1,0,1,0
Yoin,2,127,294,420,2,1,13,13,6,127,10.20,5.39,4.82,0,0,0,0,0,0,0,0,0,1,0
Veloop (Square),2,64,81,144,2,1,8,8,4,64,6.56,3.50,3.06,1,0,0,0,0,0,0,0,0,1,0
Lian Qi (Bohai),2,0,16,24,2,2,5,5,4,18,3.00,3.00,0.00,0,0,0,0,0,0,0,1,0,1,0
Jeson Zam,2,0,19,36,2,2,10,9,6,21,3.79,3.79,0.00,0,0,0,0,0,0,0,1,0,1,0
Chandaraki,2,64,81,144,12,1,8,8,4,64,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
Kharberg,2,32,25,56,4,1,5,5,4,25,4.48,4.48,0.00,0,0,0,0,0,0,0,1,0,0,0
Acedrex (Alfonso),2,64,81,144,12,1,8,8,4,64,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
Chinese Checkers,6,121,294,414,6,2,17,17,12,121,9.62,5.16,4.46,0,0,0,0,0,0,0,0,0,1,0
Tic-Tac-Toe,2,9,16,24,2,1,3,3,4,9,4.44,2.67,1.78,0,0,0,0,0,0,0,0,0,1,0
Egara Guti,2,18,23,40,2,1,7,7,4,23,5.30,3.48,1.83,0,0,0,0,0,0,0,1,0,0,0
Dama,2,64,81,144,4,1,8,8,4,64,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
Sgjough,2,0,24,32,2,2,7,7,4,26,2.67,2.67,0.00,0,0,0,0,0,0,0,1,0,1,0
Toguz Kumalak,2,0,20,16,1,1,3,10,6,20,1.60,1.60,0.00,0,0,0,0,1,0,0,1,0,0,0
Walak-Pussa,2,8,16,23,1,3,2,9,2,16,4.38,2.88,1.50,0,0,0,0,1,0,0,1,0,0,0
Reversi,2,64,81,144,1,1,8,8,4,64,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
Bagha Guti,2,32,25,56,2,2,5,5,4,26,4.48,4.48,0.00,1,0,0,0,0,0,0,1,0,1,0
Laomuzhu,2,4,10,13,3,3,2,5,4,18,4.20,2.60,1.60,1,0,0,0,1,0,0,1,0,1,0
Hat Diviyan Keliya,2,0,10,15,2,2,4,7,3,12,3.00,3.00,0.00,0,0,0,0,0,0,0,1,0,1,0
Oware,2,7,14,20,1,1,2,8,2,14,4.29,2.86,1.43,0,0,0,0,1,0,0,1,0,0,0
Chaturanga (Kridakausalya),2,64,81,144,12,1,8,8,4,64,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
Snailtrail,2,49,64,112,3,1,7,7,4,49,6.37,3.43,2.94,0,0,0,0,0,0,0,0,0,1,0
Ex Nihilo,2,61,150,210,3,1,9,9,6,61,9.44,5.11,4.33,1,0,0,0,0,0,0,0,0,1,0
Tenjiku Shogi,2,256,289,544,88,1,16,16,4,256,7.27,3.75,3.52,0,0,0,0,0,0,0,0,0,1,0
Bison,2,77,96,172,3,1,7,11,4,77,6.65,3.53,3.12,0,0,0,0,0,0,0,0,0,1,0
Sumi Naga Game (War),2,32,25,56,2,1,5,5,4,25,4.48,4.48,0.00,0,0,0,0,0,0,0,1,0,0,0
Hexifact,2,37,27,63,2,1,6,6,6,27,4.67,4.67,0.00,0,0,0,0,0,0,0,1,0,0,0
Permainan-Tabal,2,40,37,76,4,1,9,5,10,37,4.54,4.11,0.43,0,0,0,0,0,0,0,1,0,0,0
Damat,2,144,169,312,4,1,12,12,4,144,7.03,3.67,3.36,0,0,0,0,0,0,0,0,0,1,0
Samoan Game,2,72,91,162,2,1,12,6,4,72,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
En Gehe,2,39,80,118,1,1,2,40,4,121,4.90,2.95,1.95,0,0,0,0,1,0,0,1,0,1,0
Kharebga (5x5),2,25,36,60,2,2,5,5,4,27,5.76,3.20,2.56,0,0,0,0,0,0,0,0,0,1,0
Tabu Y,2,66,166,231,2,1,11,11,3,66,9.09,5.00,4.09,0,0,0,0,0,0,0,0,0,1,0
Tic-Tac-Chess,2,9,16,24,6,2,3,3,4,15,4.44,2.67,1.78,0,0,0,0,0,0,0,0,0,1,0
Four-Fang,2,9,16,24,2,3,4,4,4,27,5.25,3.00,2.25,0,0,0,0,0,0,0,1,0,1,0
Notakto,2,144,256,384,2,1,12,12,64,144,4.44,2.67,1.78,0,0,0,0,0,0,0,0,0,1,0
Gundru,2,64,81,144,2,1,9,9,4,147,6.72,3.56,3.16,0,0,0,0,0,0,0,1,0,1,0
Hnefatafl,2,121,144,264,3,1,11,11,4,121,6.94,3.64,3.31,0,0,0,0,0,0,0,0,0,1,0
Isolation,2,49,64,112,3,1,7,7,4,49,6.37,3.43,2.94,0,0,0,0,0,0,0,0,0,1,0
Coil,2,127,294,420,2,2,13,13,6,127,10.20,5.39,4.82,0,0,0,0,0,0,0,0,0,1,0
Lombard Chess,2,64,81,144,12,1,8,8,4,64,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
Three Musketeers,2,25,36,60,2,1,5,5,4,25,5.76,3.20,2.56,0,0,0,0,0,0,0,0,0,1,0
Zuz Mel (5x5),2,25,36,60,2,1,5,5,4,25,5.76,3.20,2.56,0,0,0,0,0,0,0,0,0,1,0
Awithlaknan Mosona,2,30,25,54,2,1,3,15,2,25,4.32,4.32,0.00,0,0,0,0,0,0,0,1,0,0,0
Sahmatloudi,2,81,100,180,3,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,0,0,1,0
Pippinzip,2,144,169,312,2,2,13,13,4,169,7.10,3.69,3.41,0,0,0,0,0,0,0,1,0,0,0
La'b Akila,2,6,14,19,1,1,2,7,4,22,4.43,2.71,1.71,0,0,0,0,1,0,0,1,0,1,0
Mawkar Katiya,2,6,14,19,1,2,2,7,4,22,4.43,2.71,1.71,0,0,0,0,1,0,0,1,0,1,0
Castello,2,315,352,666,3,1,15,21,4,321,7.33,3.77,3.56,0,0,0,0,0,0,0,0,0,1,0
Yaguarete Kora,2,36,31,66,2,1,7,5,7,31,4.52,4.26,0.26,0,0,0,0,0,0,0,1,0,0,0
Can The Sardines,2,81,100,180,2,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,0,0,1,0
Zola,2,36,49,84,2,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,0,0,0,0,0,1,0
Yavalade,3,61,150,210,3,1,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0
Let's Catch the Lion,2,12,20,31,10,1,4,3,4,18,4.83,2.83,2.00,0,0,0,0,0,0,0,0,0,1,0
Crossline,2,40,10,45,3,3,15,15,45,45,16.00,16.00,0.00,0,0,0,0,0,0,0,0,1,0,0
Shobu,2,64,100,160,2,2,8,8,16,64,5.25,3.00,2.25,0,0,0,0,0,0,0,0,0,1,0
Surakarta,2,25,36,60,2,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,1,0,0,1,0,0,0
Sudoku Mine,1,81,100,180,0,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,0,0,1,1
Shono,2,7,14,20,1,1,2,8,2,14,4.29,2.86,1.43,0,0,0,0,1,0,0,1,0,0,0
T'mbl,2,8,9,16,2,1,3,3,4,9,3.56,3.56,0.00,0,0,0,0,0,0,0,1,0,0,0
Squava,2,25,36,60,2,1,5,5,4,25,5.76,3.20,2.56,0,0,0,0,0,0,0,0,0,1,0
Squadro,2,32,45,76,2,1,7,7,8,45,6.22,3.38,2.84,0,0,0,0,0,0,0,1,0,0,0
Shakhmaty,2,64,81,144,12,2,8,8,4,64,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
Press Ups,2,49,64,112,3,2,7,7,4,49,6.37,3.43,2.94,0,0,0,0,0,0,0,0,0,1,0
Squaro,1,25,36,60,0,1,6,6,4,61,6.11,3.33,2.78,0,0,0,0,0,0,0,1,0,1,1
San-Noku-Narabe,2,4,9,12,2,2,3,3,4,15,4.44,2.67,1.78,0,0,0,0,0,0,0,1,0,1,0
Tides,2,25,36,60,2,2,5,5,4,27,5.76,3.20,2.56,0,0,0,0,0,0,0,0,0,1,0
Breakthrough Chess,2,64,81,144,12,1,8,8,4,64,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
Epelle,2,8,9,16,2,1,3,3,4,9,3.56,3.56,0.00,0,0,0,0,0,0,0,1,0,0,0
Ultimate Chess,2,81,100,180,12,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,0,0,1,0
Adzua,2,20,30,49,2,2,5,6,4,52,5.93,3.27,2.67,0,0,0,0,0,0,0,1,0,1,0
Ethiopian Capture Game,2,32,25,56,2,1,5,5,4,25,4.48,4.48,0.00,0,0,0,0,0,0,0,1,0,0,0
Arimaa,2,64,81,144,12,3,8,8,4,76,6.56,3.50,3.06,0,0,0,0,0,0,0,0,0,1,0
Awari,2,5,12,16,1,1,2,6,4,19,4.33,2.67,1.67,0,0,0,0,1,0,0,1,0,1,0
Havannah,2,169,384,552,2,1,15,15,6,169,10.44,5.47,4.97,0,0,0,0,0,0,0,0,0,1,0
Triple Tangle,2,13,18,30,2,1,5,5,12,61,5.00,3.33,1.67,0,0,0,0,0,0,0,1,1,1,0
Mangala (Suez),2,5,12,16,1,2,2,6,4,19,4.33,2.67,1.67,0,0,0,0,1,0,0,1,0,1,0
Mwambulula,2,21,32,52,1,2,4,8,4,55,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0
Forge,2,35,48,82,2,2,8,6,4,48,6.33,3.42,2.92,0,0,0,0,0,0,0,1,0,0,0
Liu Tsi,2,8,9,16,2,2,3,3,4,19,3.56,3.56,0.00,0,0,0,0,0,0,0,1,0,1,0
Tsoro (Baia),2,36,52,87,1,2,4,13,4,54,6.12,3.35,2.77,0,0,0,0,1,0,0,1,0,1,0
Ikh Buga,2,160,129,288,2,1,13,13,28,130,4.96,4.47,0.50,0,0,0,0,0,0,0,1,0,1,0
Katsela,2,8,9,16,2,3,3,3,4,19,3.56,3.56,0.00,0,0,0,0,0,0,0,1,0,1,0
Selbia,2,8,9,16,2,1,3,3,4,11,3.56,3.56,0.00,0,0,0,0,0,0,0,1,0,1,0
Leyla Gobale (Gabradarre),2,5,12,16,1,2,2,6,4,19,4.33,2.67,1.67,0,0,0,0,1,0,0,1,0,1,0
Tower of Hanoi,1,3,8,10,3,1,1,3,2,3,1.33,1.33,0.00,1,0,0,0,0,0,0,0,0,1,0
Yonin Seireigi,4,81,100,180,60,1,9,9,4,109,6.72,3.56,3.16,0,0,0,0,0,0,0,0,0,1,0
Haretavl (Horsens),2,32,29,68,3,1,9,9,8,29,4.69,4.69,0.00,0,0,0,0,0,0,0,1,0,0,0
Domineering,2,36,49,84,2,1,6,6,4,36,6.11,3.33,2.78,0,0,0,0,0,0,0,0,0,1,0
Kaooa,2,6,10,15,2,2,5,9,5,18,3.50,3.00,0.50,0,0,0,0,0,0,0,1,0,1,0
