job,out_file,err_file,out_exists,err_exists,out_size_bytes,err_size_bytes,parse_ok,has_game,has_variant,has_wins,has_total,diagnostic_reason,n_timeouts,game,variant,wins,completed,total_expected,losses,draws,failures,avgMoves,moveTime,maxMoves
planned_T10000_6080840,planned_T10000_6080840.out,planned_T10000_6080840.err,True,True,280,223,False,True,True,False,False,started_no_result_summary,0,Chungcajon,UCB1 | Heuristic Sampling | MonteCarlo | Robust,,,,,,,,2.0,1000
planned_T1000_6071840,planned_T1000_6071840.out,planned_T1000_6071840.err,True,True,369,0,True,True,True,True,True,complete,0,Katro,UCB1 | LGR | MonteCarlo | Robust,19.0,30.0,30.0,11.0,0.0,0.0,49.1,2.0,1000
planned_T1001_6071841,planned_T1001_6071841.out,planned_T1001_6071841.err,True,True,267,222,False,True,True,False,False,started_no_result_summary,0,Abrobad,UCB1 | Heuristic | MonteCarlo | Robust,,,,,,,,0.2,1000
planned_T1002_6071842,planned_T1002_6071842.out,planned_T1002_6071842.err,True,True,265,222,False,True,True,False,False,started_no_result_summary,0,Kos,Noisy AG0 | Random | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1003_6071843,planned_T1003_6071843.out,planned_T1003_6071843.err,True,True,259,222,False,True,True,False,False,started_no_result_summary,0,HexGo,UCB1 | NST | MonteCarlo | Robust,,,,,,,,1.0,1000
planned_T1004_6071844,planned_T1004_6071844.out,planned_T1004_6071844.err,True,True,272,222,False,True,True,False,False,started_no_result_summary,0,Unlur,UCB1 | Random | MonteCarlo | Proportional Exp,,,,,,,,2.0,1000
planned_T1005_6071845,planned_T1005_6071845.out,planned_T1005_6071845.err,True,True,273,222,False,True,True,False,False,started_no_result_summary,0,Nchuwa,UCB1 | Random | MonteCarlo | Proportional Exp,,,,,,,,0.2,1000
planned_T1006_6071846,planned_T1006_6071846.out,planned_T1006_6071846.err,True,True,270,222,False,True,True,False,False,started_no_result_summary,0,Throngs,UCB1 GRAVE | Random | MonteCarlo | Robust,,,,,,,,0.5,1000
planned_T1007_6071847,planned_T1007_6071847.out,planned_T1007_6071847.err,True,True,291,222,False,True,True,False,False,started_no_result_summary,0,Misoro Tsoro (Additional Capture),UCB1 | Random | Qualitative | Robust,,,,,,,,1.0,1000
planned_T1008_6071848,planned_T1008_6071848.out,planned_T1008_6071848.err,True,True,282,222,False,True,True,False,False,started_no_result_summary,0,Nzengue (Small),UCB1 | Random | MonteCarlo | Proportional Exp,,,,,,,,2.0,1000
planned_T1009_6071849,planned_T1009_6071849.out,planned_T1009_6071849.err,True,True,278,222,False,True,True,False,False,started_no_result_summary,0,Allemande,Progressive Bias | Random | MonteCarlo | Robust,,,,,,,,0.2,1000
