job_base,game,variant,variant_select,variant_simulation,variant_backprop,variant_finalmove,wins,games,winrate,avgMoves,moveTime,gamesPerMatchup,maxMoves,cpus,mem,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
planned_T1002_5800811,Gasetavl,McGRAVE | Random | AlphaGo | Robust,McGRAVE,Random,AlphaGo,Robust,0,10,0.0,1000.0,0.2,10,1000,4,7G,2,80,53,132,2,1,9,9,16,53,4.98,4.98,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1004_5800813,Sher Bakar,UCB1 tuned | NST | Score Bounded | Proportional Exp,UCB1 tuned,NST,Score Bounded,Proportional Exp,5,10,0.5,243.7,0.2,10,1000,5,7G,2,32,25,56,2,1,5,5,4,25,4.48,4.48,0.0,1,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1005_5800814,Seesaw,Alpha-Beta | MAST | Implicit Minimax | MaxAvgScore,Alpha-Beta,MAST,Implicit Minimax,MaxAvgScore,1,10,0.1,80.4,0.2,10,1000,5,7G,2,37,96,132,4,1,7,7,6,37,8.76,4.86,3.89,1,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T1007_5800816,Quantik,UCB1 GRAVE | MAST | Score Bounded | MaxAvgScore,UCB1 GRAVE,MAST,Score Bounded,MaxAvgScore,6,10,0.6,8.5,0.2,10,1000,4,7G,2,9,16,24,8,1,4,4,4,24,5.25,3.0,2.25,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T1011_5800820,Smasandyutakankarikrida,Progressive History | NST | AlphaGo | Proportional Exp,Progressive History,NST,AlphaGo,Proportional Exp,0,10,0.0,556.0,0.2,10,1000,4,7G,2,48,49,96,2,1,13,9,10,49,4.9,3.92,0.98,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1013_5800822,Score Four,McGRAVE | NST | Heuristic | Proportional Exp,McGRAVE,NST,Heuristic,Proportional Exp,0,10,0.0,9.5,0.2,10,1000,5,7G,2,16,25,40,2,1,4,8,4,16,5.25,3.0,2.25,1,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T1014_5800823,Cheng Fang Cheng Long,Alpha-Beta | Random | Implicit Minimax | Robust,Alpha-Beta,Random,Implicit Minimax,Robust,0,10,0.0,27.0,0.2,10,1000,4,7G,2,16,25,40,2,3,5,5,4,43,5.76,3.2,2.56,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T1017_5800826,Seven-Fang,UCB1 | MAST | MonteCarlo | MaxAvgScore,UCB1,MAST,MonteCarlo,MaxAvgScore,3,10,0.3,738.3,0.2,10,1000,4,7G,2,36,49,84,2,3,7,7,4,87,6.37,3.43,2.94,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T1018_5800827,Demala Diviyan Keliya,UCB1 | Random | Heuristic | Robust,UCB1,Random,Heuristic,Robust,5,10,0.5,97.4,0.2,10,1000,4,7G,2,12,23,38,2,2,5,15,5,36,4.87,3.3,1.57,0,0,0,0,0,0,0,1,0,1,0,,,,,
planned_T101_5799910,Oumoul Kono,UCB1 | MAST | AlphaGo | MaxAvgScore,UCB1,MAST,AlphaGo,MaxAvgScore,0,10,0.0,1000.0,0.2,10,1000,4,7G,2,4,5,8,2,1,3,3,4,5,3.2,3.2,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T1020_5800829,Pentomino,Implicit Minimax | MAST | AlphaGo | MaxAvgScore,Implicit Minimax,MAST,AlphaGo,MaxAvgScore,7,10,0.7,8.4,0.2,10,1000,4,7G,2,60,77,136,12,1,6,10,4,72,6.47,3.47,3.0,0,0,0,0,0,0,0,0,0,1,0,,,,,
