job_base,game,variant,variant_select,variant_simulation,variant_backprop,variant_finalmove,wins,games,winrate,avgMoves,moveTime,gamesPerMatchup,maxMoves,cpus,mem,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
planned_T1000_5919332,Veloop (Square),Implicit Minimax | NST | MonteCarlo | Robust,Implicit Minimax,NST,MonteCarlo,Robust,18,30,0.6,48.6,0.5,30,1000,5,7G,2,64,81,144,2,1,8,8,4,64,6.56,3.5,3.06,1,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T100_5918432,Camelot,Progressive Widening | NST | Score Bounded | MaxAvgScore,Progressive Widening,NST,Score Bounded,MaxAvgScore,8,30,0.26666666666666666,843.6,0.5,30,1000,4,7G,2,160,189,348,4,1,12,16,20,160,7.12,3.65,3.48,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T101_5918433,Cascades,McGRAVE | NST | MonteCarlo | Robust,McGRAVE,NST,MonteCarlo,Robust,4,30,0.13333333333333333,97.0,0.5,30,1000,4,7G,2,92,223,314,2,2,8,15,4,94,9.59,5.17,4.41,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T102_5918434,Conspirateurs,Progressive Widening | MAST | Implicit Minimax | Proportional Exp,Progressive Widening,MAST,Implicit Minimax,Proportional Exp,0,30,0.0,1000.0,0.5,30,1000,5,7G,2,289,324,612,2,2,17,17,4,291,7.31,3.76,3.54,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T103_5918435,Gadis,Implicit Minimax | Random | MonteCarlo | MaxAvgScore,Implicit Minimax,Random,MonteCarlo,MaxAvgScore,5,30,0.16666666666666666,99.4,0.5,30,1000,4,7G,2,60,85,144,2,1,30,30,24,60,6.0,3.6,2.4,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T104_5918436,Grasshopper,Implicit Minimax | MAST | Score Bounded | Robust,Implicit Minimax,MAST,Score Bounded,Robust,18,30,0.6,848.1,0.5,30,1000,4,7G,2,64,81,144,2,2,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T105_5918437,Halma,Alpha-Beta | MAST | MonteCarlo | Proportional Exp,Alpha-Beta,MAST,MonteCarlo,Proportional Exp,0,30,0.0,1000.0,0.5,30,1000,5,7G,2,256,289,544,2,2,16,16,4,256,7.27,3.75,3.52,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T106_5918438,O-Pat-Kono,Alpha-Beta | NST | Implicit Minimax | Robust,Alpha-Beta,NST,Implicit Minimax,Robust,0,30,0.0,993.5,0.5,30,1000,4,7G,2,16,25,40,2,1,5,5,4,25,5.76,3.2,2.56,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T107_5918439,Salta,Implicit Minimax | Random | Implicit Minimax | Proportional Exp,Implicit Minimax,Random,Implicit Minimax,Proportional Exp,0,30,0.0,1000.0,0.5,30,1000,4,8G,2,100,121,220,30,1,10,10,4,100,6.84,3.6,3.24,0,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T108_5918440,Shanzak Kammar,Alpha-Beta | NST | Score Bounded | MaxAvgScore,Alpha-Beta,NST,Score Bounded,MaxAvgScore,0,30,0.0,1000.0,0.5,30,1000,4,7G,2,40,37,92,2,1,9,5,10,37,5.41,4.97,0.43,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T109_5918441,Tandems,Implicit Minimax | NST | Score Bounded | Proportional Exp,Implicit Minimax,NST,Score Bounded,Proportional Exp,1,30,0.03333333333333333,987.7,0.5,30,1000,4,7G,2,25,36,60,2,1,5,5,4,25,5.76,3.2,2.56,0,0,0,0,0,0,0,0,0,1,0,,,,,
