variant_select,variant_simulation,variant_backprop,variant_finalmove,winrate,moveTime,maxMoves,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
Implicit Minimax,NST,MonteCarlo,Robust,0.6,0.5,1000,2,64,81,144,2,1,8,8,4,64,6.56,3.5,3.06,1,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Widening,NST,Score Bounded,MaxAvgScore,0.26666666666666666,0.5,1000,2,160,189,348,4,1,12,16,20,160,7.12,3.65,3.48,0,0,0,0,0,0,0,0,0,1,0,,,,,
McGRAVE,NST,MonteCarlo,Robust,0.13333333333333333,0.5,1000,2,92,223,314,2,2,8,15,4,94,9.59,5.17,4.41,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Widening,MAST,Implicit Minimax,Proportional Exp,0.0,0.5,1000,2,289,324,612,2,2,17,17,4,291,7.31,3.76,3.54,0,0,0,0,0,0,0,0,0,1,0,,,,,
Implicit Minimax,Random,MonteCarlo,MaxAvgScore,0.16666666666666666,0.5,1000,2,60,85,144,2,1,30,30,24,60,6.0,3.6,2.4,0,0,0,0,0,0,0,0,0,1,0,,,,,
Implicit Minimax,MAST,Score Bounded,Robust,0.6,0.5,1000,2,64,81,144,2,2,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
Alpha-Beta,MAST,MonteCarlo,Proportional Exp,0.0,0.5,1000,2,256,289,544,2,2,16,16,4,256,7.27,3.75,3.52,0,0,0,0,0,0,0,0,0,1,0,,,,,
Alpha-Beta,NST,Implicit Minimax,Robust,0.0,0.5,1000,2,16,25,40,2,1,5,5,4,25,5.76,3.2,2.56,0,0,0,0,0,0,0,1,0,0,0,,,,,
Implicit Minimax,Random,Implicit Minimax,Proportional Exp,0.0,0.5,1000,2,100,121,220,30,1,10,10,4,100,6.84,3.6,3.24,0,0,0,0,0,0,0,0,0,1,0,,,,,
Alpha-Beta,NST,Score Bounded,MaxAvgScore,0.0,0.5,1000,2,40,37,92,2,1,9,5,10,37,5.41,4.97,0.43,0,0,0,0,0,0,0,1,0,0,0,,,,,
Implicit Minimax,NST,Score Bounded,Proportional Exp,0.03333333333333333,0.5,1000,2,25,36,60,2,1,5,5,4,25,5.76,3.2,2.56,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1,Random,MonteCarlo,Robust,0.0,0.5,1000,2,144,169,312,2,1,13,13,4,169,7.1,3.69,3.41,0,0,0,0,0,0,0,1,0,0,0,,,,,
Alpha-Beta,Random,Implicit Minimax,MaxAvgScore,0.4666666666666667,0.5,1000,2,61,150,210,2,1,9,9,6,61,9.44,5.11,4.33,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1,Random,MonteCarlo,Robust,0.6666666666666666,0.5,1000,2,64,81,144,2,1,8,8,4,66,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1,MAST,Score Bounded,Proportional Exp,0.5333333333333333,0.5,1000,2,64,81,144,12,3,8,8,4,76,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1,NST,Implicit Minimax,MaxAvgScore,0.5,0.5,1000,2,77,96,172,3,1,7,11,4,77,6.65,3.53,3.12,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 tuned,MAST,MonteCarlo,MaxAvgScore,0.3333333333333333,0.5,1000,2,64,81,144,2,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 GRAVE,MAST,Implicit Minimax,Robust,0.4,0.5,1000,2,64,81,144,2,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
