model,train_size_abs,train_size_frac,train_mse_mean,train_mse_std,val_mse_mean,val_mse_std,val_r2_mean,val_r2_std
DummyMean,79,0.07923771313941826,0.0525198597090922,0.006741545421411551,0.051360678280633745,0.002990582921919532,-0.0051858563970079265,0.0053639459475886015
DummyMean,159,0.15947843530591777,0.05342584028343823,0.004001143622214293,0.05162941716961263,0.0029038517490240358,-0.010572282042988634,0.008718188803379049
DummyMean,318,0.31895687061183553,0.05115662985558419,0.0022698526754123217,0.05118009858697449,0.002963946612606427,-0.0016656093286445462,0.0007094590067576106
DummyMean,478,0.4794383149448345,0.05213296315349179,0.0019739703639826507,0.05114346411171137,0.002969214654649837,-0.0009410378833375699,0.0010555229460554314
DummyMean,637,0.6389167502507522,0.052418056289326664,0.0016559583108899812,0.051102052769781456,0.002991804864157699,-0.00010324153754681653,0.0001429775885661711
DummyMean,797,0.7993981945837513,0.052441466457134475,0.0007540096690195416,0.05111203299769888,0.0030074150771376533,-0.0002819858949088871,0.0002945350152685163
Ridge,79,0.07923771313941826,0.025104401557666255,0.004948592700335356,0.1338899034369268,0.07494520908130102,-1.6838450374807317,1.5876387415429978
Ridge,159,0.15947843530591777,0.032266074302815625,0.002658060323599581,0.058913181308247055,0.019286403433388766,-0.1591249251951641,0.39605700835352814
Ridge,318,0.31895687061183553,0.032832470007181695,0.0010351052055097801,0.04765646999970945,0.010624519874482324,0.06184184876906518,0.23646709567612023
Ridge,478,0.4794383149448345,0.0346909760007627,0.001060232389433131,0.04732766514694924,0.007794310910143137,0.06926135482273496,0.17782319514362
Ridge,637,0.6389167502507522,0.035765611959913915,0.0011327288326241558,0.046679100125309556,0.008231426322998652,0.08159876345532288,0.1876791222744645
Ridge,797,0.7993981945837513,0.036532632681972606,0.0008100937530174306,0.044646849650990375,0.004155824925167688,0.12403335515400186,0.0918482358474648
RandomForest,79,0.07923771313941826,0.007024150668073129,0.0006963492537934864,0.048965821738102745,0.005488782948745272,0.04342721138881363,0.07024151467580807
RandomForest,159,0.15947843530591777,0.0062347059544862,0.0005312925012289602,0.043906927484251554,0.004354515083559524,0.1422686374391035,0.04447951809411859
RandomForest,318,0.31895687061183553,0.005881298060400074,0.0002129727585950465,0.041779814980825634,0.0039491477906836376,0.18332323353268812,0.04485247496153788
RandomForest,478,0.4794383149448345,0.005900140999149801,0.00023796600773905017,0.04121244586581654,0.002942822570003522,0.19341723834245134,0.03379891915925975
RandomForest,637,0.6389167502507522,0.005850712425231298,0.0002996687807619338,0.04137629728948141,0.003072772476302168,0.19017257174255228,0.03910540040592505
RandomForest,797,0.7993981945837513,0.005947793759371807,0.00020205659367714032,0.04126380356531501,0.0027842504772525767,0.19216225952584504,0.035158905745761325
HistGradientBoosting,79,0.07923771313941826,0.02682787689175964,0.003660252783507088,0.057468487326629014,0.006302287899980959,-0.12384595897415451,0.09331283146605579
HistGradientBoosting,159,0.15947843530591777,0.018500996718570074,0.00269319293355511,0.05348899970322265,0.00605057340597444,-0.04449119055397151,0.06667035743997053
HistGradientBoosting,318,0.31895687061183553,0.01599065699431336,0.0016202138962037689,0.041999439751046606,0.004680266972844596,0.18017480990401707,0.0490007922273804
HistGradientBoosting,478,0.4794383149448345,0.017771255507506894,0.0016312427263624348,0.04094940928516991,0.0023763544178890816,0.1984120812747075,0.01719612218181838
HistGradientBoosting,637,0.6389167502507522,0.01938687625955377,0.001133021058883031,0.041368363848271195,0.0028279222045468895,0.189782690640386,0.04382686735340331
HistGradientBoosting,797,0.7993981945837513,0.02038714932803835,0.0008998060748125123,0.04049936596050383,0.0025668297283432976,0.20729528012437548,0.02476331415884488
