variant_select,variant_simulation,variant_backprop,variant_finalmove,winrate,drawrate,score,n_timeouts,moveTime,maxMoves,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
AG0,LGR,AlphaGo,MaxAvgScore,0.02,0.01,0.025,0,0.5,2000,2,1681,1764,3444,4,2,41,41,4,1681,7.71,3.9,3.81,1,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1,LGR,Heuristic,Proportional Exp,0.0,0.0,0.0,0,2.0,2000,2,64,81,144,2,2,9,9,4,147,6.72,3.56,3.16,0,0,0,0,0,0,0,1,0,1,0,,,,,
ExIt,PlayoutHS,AlphaGo,Proportional Exp,0.0,0.0,0.0,0,2.0,2000,2,21,32,52,1,2,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
Noisy AG0,NST,Score Bounded,MaxAvgScore,0.01,0.0,0.01,0,0.2,2000,2,16,25,40,2,2,5,5,4,25,5.76,3.2,2.56,0,0,0,0,0,0,0,1,0,0,0,,,,,
UCB1 tuned,Heuristic Sampling,Implicit Minimax,MaxAvgScore,0.01,0.07,0.045,0,1.0,2000,2,3,8,10,1,1,2,4,4,13,4.0,2.5,1.5,0,0,0,0,1,0,0,1,0,1,0,,,,,
McGRAVE,NST,AlphaGo,Robust,0.02,0.0,0.02,0,0.2,2000,2,25,36,60,2,1,5,5,4,27,5.76,3.2,2.56,0,0,0,0,0,0,0,0,0,1,0,,,,,
AG0,LGR,Qualitative,Proportional Exp,0.0,0.0,0.0,0,0.5,2000,2,25,36,60,2,1,5,5,4,27,5.76,3.2,2.56,0,0,0,0,0,0,0,0,0,1,0,,,,,
McBRAVE,MAST,Qualitative,Robust,0.0,0.0,0.0,0,1.0,2000,2,6,14,19,1,1,2,7,4,22,4.43,2.71,1.71,0,0,0,0,1,0,0,1,0,1,0,,,,,
AG0,NST,Heuristic,MaxAvgScore,0.0,1.0,0.5,0,2.0,2000,2,6,14,19,1,1,2,7,4,22,4.43,2.71,1.71,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive History,PlayoutHS,AlphaGo,Proportional Exp,0.16,0.03,0.175,0,0.2,2000,2,6,14,19,1,1,2,7,4,22,4.43,2.71,1.71,0,0,0,0,1,0,0,1,0,1,0,,,,,
McGRAVE,Random,Score Bounded,Proportional Exp,0.5,0.0,0.5,0,0.2,2000,2,64,81,144,2,3,8,8,4,208,6.56,3.5,3.06,0,0,0,0,0,0,0,0,1,1,0,,,,,
UCB1 GRAVE,HS Playout,Score Bounded,Robust,0.07,0.01,0.075,0,0.5,2000,2,4,10,13,1,1,2,5,4,16,4.2,2.6,1.6,0,0,0,0,1,0,0,1,0,1,0,,,,,
McBRAVE,LGR,Implicit Minimax,Proportional Exp,0.0,0.0,0.0,0,1.0,2000,2,4,10,13,1,1,2,5,4,16,4.2,2.6,1.6,0,0,0,0,1,0,0,1,0,1,0,,,,,
ExIt,MAST,MonteCarlo,MaxAvgScore,0.0,1.0,0.5,0,2.0,2000,2,3,8,10,1,3,2,4,4,13,4.0,2.5,1.5,0,0,0,0,1,0,0,1,0,1,0,,,,,
Progressive Bias,NST,Score Bounded,Proportional Exp,0.41,0.0,0.41,0,0.2,2000,2,40,37,76,2,2,9,5,10,78,4.54,4.11,0.43,1,0,0,0,0,0,0,1,0,1,0,,,,,
Progressive Widening,MAST,Score Bounded,MaxAvgScore,0.18,0.0,0.18,0,0.5,2000,2,0,24,40,2,2,7,7,4,26,3.33,3.33,0.0,1,0,0,0,0,0,0,1,0,1,0,,,,,
UCB1,MAST,Score Bounded,Proportional Exp,0.5,0.0,0.5,0,0.2,2000,2,8,18,25,6,1,1,8,2,8,1.75,1.75,0.0,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Bias,Heuristic,MonteCarlo,MaxAvgScore,0.03,0.0,0.03,0,0.5,2000,2,81,100,180,2,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Widening,Heuristic,Heuristic,MaxAvgScore,0.18,0.0,0.18,0,0.5,2000,2,81,100,180,3,1,9,9,4,263,6.72,3.56,3.16,0,0,0,0,0,0,0,0,1,1,0,,,,,
McBRAVE,LGR,MonteCarlo,Proportional Exp,0.0,0.0,0.0,0,2.0,2000,2,64,81,144,1,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
Alpha-Beta,Random,Implicit Minimax,MaxAvgScore,0.19,0.0,0.19,0,0.2,2000,2,64,81,144,2,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive History,NST,Heuristic,Proportional Exp,0.37,0.0,0.37,0,0.5,2000,2,49,64,112,3,1,7,7,4,49,6.37,3.43,2.94,0,0,0,0,0,0,0,0,0,1,0,,,,,
McBRAVE,Heuristic,Qualitative,MaxAvgScore,0.03,0.0,0.03,0,1.0,2000,2,49,64,112,3,1,7,7,4,49,6.37,3.43,2.94,0,0,0,0,0,0,0,0,0,1,0,,,,,
Implicit Minimax,LGR,MonteCarlo,Robust,0.13,0.0,0.13,0,2.0,2000,2,64,81,144,4,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
Noisy AG0,Random,MonteCarlo,Proportional Exp,0.0,0.0,0.0,0,0.2,2000,2,27,40,66,1,2,4,10,4,40,6.0,3.3,2.7,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1 tuned,MAST,AlphaGo,Robust,0.5,0.0,0.5,0,0.5,2000,2,16,25,40,2,1,5,5,4,25,5.76,3.2,2.56,0,0,0,0,0,0,0,1,0,0,0,,,,,
McGRAVE,NST,Heuristic,MaxAvgScore,0.0,0.0,0.0,0,1.0,2000,2,54,37,90,2,1,7,7,6,37,4.86,4.86,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive History,Heuristic,Implicit Minimax,Proportional Exp,0.05,0.0,0.05,0,2.0,2000,2,54,37,90,2,1,7,7,6,37,4.86,4.86,0.0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive Widening,MAST,MonteCarlo,MaxAvgScore,0.22,0.48,0.46,0,0.2,2000,2,21,32,52,1,4,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
UCB1,HS Playout,AlphaGo,Proportional Exp,0.19,0.0,0.19,0,1.0,2000,2,81,100,180,3,1,9,9,4,263,6.72,3.56,3.16,0,0,0,0,0,0,0,0,1,1,0,,,,,
UCB1,NST,Qualitative,Proportional Exp,0.01,0.0,0.01,0,0.5,2000,2,32,25,56,2,2,5,5,4,59,4.48,4.48,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
UCB1 tuned,HS Playout,Score Bounded,Robust,0.13,0.0,0.13,0,1.0,2000,2,81,100,180,3,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,0,0,1,0,,,,,
McBRAVE,PlayoutHS,Score Bounded,Robust,0.02,0.0,0.02,0,2.0,2000,2,81,100,180,2,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,0,0,1,0,,,,,
Progressive Widening,LGR,MonteCarlo,Proportional Exp,0.33,0.0,0.33,0,0.2,2000,2,81,100,180,2,1,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,0,0,1,0,,,,,
ExIt,NST,MonteCarlo,Robust,0.01,0.0,0.01,0,0.5,2000,2,64,81,144,12,1,8,8,4,64,6.56,3.5,3.06,1,0,0,0,0,0,0,0,0,1,0,,,,,
AG0,Heuristic,Heuristic,Proportional Exp,0.05,0.84,0.47,0,0.2,2000,2,123,148,270,22,1,11,13,6,123,6.93,3.61,3.32,0,0,0,0,0,0,0,0,0,1,0,,,,,
AG0,Random,AlphaGo,Robust,0.0,0.0,0.0,0,0.5,2000,2,0,16,20,2,2,5,5,4,18,2.5,2.5,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
Progressive Bias,HS Playout,Heuristic,Proportional Exp,0.0,0.0,0.0,0,1.0,2000,2,0,16,20,2,2,5,5,4,18,2.5,2.5,0.0,0,0,0,0,0,0,0,1,0,1,0,,,,,
Alpha-Beta,LGR,Score Bounded,Robust,0.23,0.0,0.23,0,2.0,2000,2,324,361,684,2,2,19,19,4,361,7.38,3.79,3.59,0,0,0,0,0,0,0,1,0,0,0,,,,,
Progressive History,NST,MonteCarlo,Robust,0.57,0.02,0.58,0,2.0,2000,2,27,73,99,2,1,6,6,6,27,8.22,4.67,3.56,1,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 GRAVE,Random,Score Bounded,Proportional Exp,0.01,0.86,0.44,0,0.2,2000,2,7,14,20,1,2,2,8,2,14,4.29,2.86,1.43,0,0,0,0,1,0,0,1,0,0,0,,,,,
ExIt,MAST,AlphaGo,Proportional Exp,0.0,0.0,0.0,0,0.5,2000,2,144,169,312,4,1,12,12,4,144,7.03,3.67,3.36,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 GRAVE,Random,Implicit Minimax,Proportional Exp,0.15,0.0,0.15,0,1.0,2000,2,169,196,364,3,1,13,13,4,169,7.1,3.69,3.41,0,0,0,0,0,0,0,0,0,1,0,,,,,
AG0,MAST,Score Bounded,Proportional Exp,0.04,0.67,0.375,0,0.2,2000,2,81,100,180,12,2,9,9,4,81,6.72,3.56,3.16,0,0,0,0,0,0,0,0,0,1,0,,,,,
UCB1 tuned,Random,Qualitative,MaxAvgScore,0.0,0.0,0.0,0,0.5,2000,2,64,81,144,2,2,8,8,4,65,6.56,3.5,3.06,0,0,0,0,0,0,0,0,0,1,0,,,,,
