job,out_file,err_file,failed,error_type,out_preview,err_preview
planned_T1000_5919332,planned_T1000_5919332.out,planned_T1000_5919332.err,False,,"Running T1000 on lm4-w005 at Sun Mar  1 22:00:45 CET 2026
Game: Veloop (Square)
Variant: Implicit Minimax | NST | MonteCarlo | Robust
Meta: moveTime=0.5, gamesPerMatchup=30, maxMoves=1000
Estimated: c",
planned_T100_5918432,planned_T100_5918432.out,planned_T100_5918432.err,False,,"Running T100 on lm4-w006 at Sun Mar  1 22:25:16 CET 2026
Game: Camelot
Variant: Progressive Widening | NST | Score Bounded | MaxAvgScore
Meta: moveTime=0.5, gamesPerMatchup=30, maxMoves=1000
Estimated",
planned_T101_5918433,planned_T101_5918433.out,planned_T101_5918433.err,False,,"Running T101 on lm4-w009 at Sun Mar  1 22:25:46 CET 2026
Game: Cascades
Variant: McGRAVE | NST | MonteCarlo | Robust
Meta: moveTime=0.5, gamesPerMatchup=30, maxMoves=1000
Estimated: cpus=4, mem=7G, ti",
planned_T102_5918434,planned_T102_5918434.out,planned_T102_5918434.err,False,,"Running T102 on lm4-w020 at Sun Mar  1 21:38:13 CET 2026
Game: Conspirateurs
Variant: Progressive Widening | MAST | Implicit Minimax | Proportional Exp
Meta: moveTime=0.5, gamesPerMatchup=30, maxMoves",
planned_T103_5918435,planned_T103_5918435.out,planned_T103_5918435.err,False,,"Running T103 on lm4-w009 at Sun Mar  1 22:25:47 CET 2026
Game: Gadis
Variant: Implicit Minimax | Random | MonteCarlo | MaxAvgScore
Meta: moveTime=0.5, gamesPerMatchup=30, maxMoves=1000
Estimated: cpus",
planned_T104_5918436,planned_T104_5918436.out,planned_T104_5918436.err,False,,"Running T104 on lm4-w009 at Sun Mar  1 22:25:47 CET 2026
Game: Grasshopper
Variant: Implicit Minimax | MAST | Score Bounded | Robust
Meta: moveTime=0.5, gamesPerMatchup=30, maxMoves=1000
Estimated: cp",
planned_T105_5918437,planned_T105_5918437.out,planned_T105_5918437.err,False,,"Running T105 on lm4-w037 at Sun Mar  1 21:38:43 CET 2026
Game: Halma
Variant: Alpha-Beta | MAST | MonteCarlo | Proportional Exp
Meta: moveTime=0.5, gamesPerMatchup=30, maxMoves=1000
Estimated: cpus=5,",
planned_T106_5918438,planned_T106_5918438.out,planned_T106_5918438.err,False,,"Running T106 on lm4-w009 at Sun Mar  1 22:25:47 CET 2026
Game: O-Pat-Kono
Variant: Alpha-Beta | NST | Implicit Minimax | Robust
Meta: moveTime=0.5, gamesPerMatchup=30, maxMoves=1000
Estimated: cpus=4,",
planned_T107_5918439,planned_T107_5918439.out,planned_T107_5918439.err,False,,"Running T107 on lm4-w009 at Sun Mar  1 22:25:46 CET 2026
Game: Salta
Variant: Implicit Minimax | Random | Implicit Minimax | Proportional Exp
Meta: moveTime=0.5, gamesPerMatchup=30, maxMoves=1000
Esti",
planned_T108_5918440,planned_T108_5918440.out,planned_T108_5918440.err,False,,"Running T108 on lm4-w009 at Sun Mar  1 22:25:47 CET 2026
Game: Shanzak Kammar
Variant: Alpha-Beta | NST | Score Bounded | MaxAvgScore
Meta: moveTime=0.5, gamesPerMatchup=30, maxMoves=1000
Estimated: c",
planned_T109_5918441,planned_T109_5918441.out,planned_T109_5918441.err,False,,"Running T109 on lm4-w009 at Sun Mar  1 22:25:46 CET 2026
Game: Tandems
Variant: Implicit Minimax | NST | Score Bounded | Proportional Exp
Meta: moveTime=0.5, gamesPerMatchup=30, maxMoves=1000
Estimate",
planned_T10_5918342,planned_T10_5918342.out,planned_T10_5918342.err,False,,"Running T10 on lm4-w026 at Sun Mar  1 22:02:15 CET 2026
Game: Tavelspel
Variant: UCB1 | Random | MonteCarlo | Robust
Meta: moveTime=0.5, gamesPerMatchup=30, maxMoves=1000
Estimated: cpus=4, mem=7G, ti",
planned_T110_5918442,planned_T110_5918442.out,planned_T110_5918442.err,False,,"Running T110 on lm4-w009 at Sun Mar  1 22:25:46 CET 2026
Game: Aboyne
Variant: Alpha-Beta | Random | Implicit Minimax | MaxAvgScore
Meta: moveTime=0.5, gamesPerMatchup=30, maxMoves=1000
Estimated: cpu",
